quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
6,7.70,0.280,0.29,6.90,0.041,29.0,163.0,0.9952,3.44,0.60,10.5
7,6.50,0.240,0.36,2.20,0.027,36.0,134.0,0.9898,3.28,0.36,12.5
6,7.00,0.220,0.32,1.60,0.045,40.0,120.0,0.9914,2.98,0.44,10.5
6,8.50,0.280,0.34,13.80,0.041,32.0,161.0,0.9981,3.13,0.40,9.9
7,8.00,0.450,0.28,10.80,0.051,25.0,157.0,0.9957,3.06,0.47,11.4
6,6.90,0.230,0.33,12.80,0.056,44.0,169.0,0.998,3.42,0.42,9.8
7,8.00,0.450,0.28,10.80,0.051,25.0,157.0,0.9957,3.06,0.47,11.4
4,7.60,0.230,0.26,15.30,0.067,32.0,166.0,0.9986,3.03,0.44,9.2
5,7.70,0.280,0.58,12.10,0.046,60.0,177.0,0.9983,3.08,0.46,8.9
5,7.70,0.270,0.61,12.00,0.046,64.0,179.0,0.9982,3.07,0.46,8.9
7,7.10,0.200,0.36,11.60,0.042,45.0,124.0,0.997,2.92,0.59,9.5
6,6.90,0.250,0.35,9.20,0.034,42.0,150.0,0.9947,3.21,0.36,11.5
7,7.10,0.200,0.36,11.60,0.042,45.0,124.0,0.997,2.92,0.59,9.5
6,6.90,0.250,0.35,9.20,0.034,42.0,150.0,0.9947,3.21,0.36,11.5
6,8.40,0.200,0.31,2.80,0.054,16.0,89.0,0.99416,2.96,0.45,9.5
5,6.50,0.390,0.35,1.60,0.049,10.0,164.0,0.99516,3.35,0.51,9.7
5,7.20,0.230,0.38,6.10,0.067,20.0,90.0,0.99496,3.17,0.79,9.7
6,6.90,0.440,0.42,8.50,0.048,10.0,147.0,0.9974,3.32,0.46,9.5
5,7.10,0.280,0.19,7.80,0.040,48.0,184.0,0.99579,3.16,0.50,9.4
4,6.40,0.340,0.20,14.90,0.060,37.0,162.0,0.9983,3.13,0.45,9
6,6.10,0.150,0.29,6.20,0.046,39.0,151.0,0.99471,3.60,0.44,10.6
6,6.90,0.440,0.42,8.50,0.048,10.0,147.0,0.9974,3.32,0.46,9.5
5,7.20,0.290,0.18,8.20,0.042,41.0,180.0,0.99644,3.16,0.49,9.1
5,7.10,0.280,0.19,7.80,0.040,48.0,184.0,0.99579,3.16,0.50,9.4
5,6.10,0.230,0.45,10.60,0.094,49.0,169.0,0.99699,3.05,0.54,8.8
5,6.70,0.230,0.42,11.20,0.047,52.0,171.0,0.99758,3.54,0.74,10.4
5,7.00,0.360,0.14,11.60,0.043,35.0,228.0,0.9977,3.13,0.51,8.9
7,7.50,0.310,0.24,7.10,0.031,28.0,141.0,0.99397,3.16,0.38,10.6
4,6.40,0.340,0.20,14.90,0.060,37.0,162.0,0.9983,3.13,0.45,9
6,6.10,0.150,0.29,6.20,0.046,39.0,151.0,0.99471,3.60,0.44,10.6
6,7.40,0.200,0.29,1.70,0.047,16.0,100.0,0.99243,3.28,0.45,10.6
5,6.30,0.270,0.18,7.70,0.048,45.0,186.0,0.9962,3.23,0.47,9
6,9.20,0.340,0.54,17.30,0.060,46.0,235.0,1.00182,3.08,0.61,8.8
7,7.40,0.180,0.29,1.40,0.042,34.0,101.0,0.99384,3.54,0.60,10.5
5,7.20,0.290,0.20,7.70,0.046,51.0,174.0,0.99582,3.16,0.52,9.5
5,6.30,0.270,0.18,7.70,0.048,45.0,186.0,0.9962,3.23,0.47,9
6,6.20,0.260,0.19,3.40,0.049,47.0,172.0,0.9924,3.14,0.43,10.4
6,7.30,0.210,0.21,1.60,0.046,35.0,133.0,0.99466,3.38,0.46,10
5,7.10,0.140,0.35,1.40,0.039,24.0,128.0,0.99212,2.97,0.68,10.4
6,7.20,0.390,0.54,1.40,0.157,34.0,132.0,0.99449,3.11,0.53,9
5,7.60,0.480,0.28,10.40,0.049,57.0,205.0,0.99748,3.24,0.45,9.3
6,7.20,0.390,0.54,1.40,0.157,34.0,132.0,0.99449,3.11,0.53,9
5,7.60,0.480,0.28,10.40,0.049,57.0,205.0,0.99748,3.24,0.45,9.3
6,6.50,0.360,0.31,4.10,0.061,20.0,134.0,0.99475,3.18,0.45,9
6,8.50,0.250,0.31,2.80,0.032,11.0,61.0,0.99189,3.06,0.44,11.5
5,6.90,0.300,0.21,15.70,0.056,49.0,159.0,0.99827,3.11,0.48,9
6,6.60,0.190,0.43,10.90,0.045,53.0,154.0,0.99752,3.52,0.77,10.4
5,6.90,0.300,0.21,15.70,0.056,49.0,159.0,0.99827,3.11,0.48,9
5,9.40,0.420,0.32,6.50,0.027,20.0,167.0,0.99479,3.08,0.43,10.6
6,6.60,0.190,0.43,10.90,0.045,53.0,154.0,0.99752,3.52,0.77,10.4
6,6.30,0.200,0.30,5.90,0.034,35.0,152.0,0.99642,3.47,0.40,8.5
6,8.50,0.190,0.56,17.30,0.055,47.0,169.0,1.00047,3.07,0.67,9.3
7,7.30,0.190,0.25,1.40,0.051,41.0,107.0,0.99382,3.53,0.66,10.5
6,6.70,0.250,0.26,13.50,0.060,50.0,156.0,0.99784,3.39,0.46,9.9
6,6.20,0.250,0.28,8.50,0.035,28.0,108.0,0.99486,3.40,0.42,10.4
5,6.10,0.460,0.32,6.20,0.053,10.0,94.0,0.99537,3.35,0.47,10.1
7,7.30,0.190,0.25,1.40,0.051,41.0,107.0,0.99382,3.53,0.66,10.5
4,7.50,0.290,0.26,14.95,0.067,47.0,178.0,0.99838,3.04,0.49,9.2
6,6.70,0.310,0.18,7.70,0.043,57.0,200.0,0.99566,3.17,0.44,9.4
6,7.40,0.140,0.30,1.30,0.033,25.0,91.0,0.99268,3.53,0.39,10.6
6,6.70,0.310,0.18,7.70,0.043,57.0,200.0,0.99566,3.17,0.44,9.4
5,7.10,0.400,0.52,1.30,0.148,45.0,149.0,0.99468,3.08,0.56,8.7
6,6.40,0.160,0.25,1.30,0.047,20.0,77.0,0.9933,3.61,0.54,10.2
6,6.30,0.160,0.22,1.30,0.046,18.0,66.0,0.99307,3.61,0.55,10.3
5,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.99907,3.06,0.68,9.5
5,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.99907,3.06,0.68,9.5
5,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.99907,3.06,0.68,9.5
5,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.99907,3.06,0.68,9.5
5,6.60,0.410,0.24,4.90,0.158,47.0,144.0,0.99471,3.17,0.49,9.4
5,6.70,0.430,0.23,5.00,0.157,49.0,145.0,0.99471,3.17,0.49,9.4
5,7.40,0.330,0.26,15.60,0.049,67.0,210.0,0.99907,3.06,0.68,9.5
7,7.30,0.400,0.28,6.50,0.037,26.0,97.0,0.99148,3.16,0.58,12.6
7,7.40,0.180,0.24,1.40,0.047,21.0,106.0,0.99383,3.52,0.64,10.5
6,8.60,0.170,0.28,2.70,0.047,38.0,150.0,0.99365,3.10,0.56,10.8
6,6.50,0.320,0.23,1.20,0.054,39.0,208.0,0.99272,3.18,0.46,9.9
7,7.30,0.400,0.28,6.50,0.037,26.0,97.0,0.99148,3.16,0.58,12.6
7,7.00,0.320,0.31,6.40,0.031,38.0,115.0,0.99235,3.38,0.58,12.2
6,7.50,0.420,0.19,6.90,0.041,62.0,150.0,0.99508,3.23,0.37,10
7,6.90,0.280,0.31,7.20,0.040,47.0,168.0,0.9946,3.29,0.57,10.6
6,6.50,0.290,0.42,10.60,0.042,66.0,202.0,0.99674,3.24,0.53,9.5
8,6.30,0.410,0.18,3.50,0.027,23.0,109.0,0.99018,3.34,0.54,12.8
7,7.00,0.320,0.31,6.40,0.031,38.0,115.0,0.99235,3.38,0.58,12.2
7,7.30,0.300,0.33,2.30,0.043,28.0,125.0,0.99084,3.34,0.44,12.6
5,6.60,0.220,0.28,12.05,0.058,25.0,125.0,0.99856,3.45,0.45,9.4
5,6.00,0.260,0.18,7.00,0.055,50.0,194.0,0.99591,3.21,0.43,9
5,6.90,0.440,0.18,11.80,0.051,26.0,126.0,0.9975,3.23,0.48,9.1
6,7.50,0.420,0.20,1.40,0.060,15.0,168.0,0.9944,3.06,0.40,9.4
7,7.00,0.360,0.30,5.00,0.040,40.0,143.0,0.99173,3.33,0.42,12.2
5,5.60,0.295,0.20,2.20,0.049,18.0,134.0,0.99378,3.21,0.68,10
5,6.80,0.210,0.55,14.60,0.053,34.0,159.0,0.99805,2.93,0.44,9.2
5,9.40,0.280,0.30,1.60,0.045,36.0,139.0,0.99534,3.11,0.49,9.3
6,8.10,0.280,0.34,1.30,0.035,11.0,126.0,0.99232,3.14,0.50,9.8
5,6.80,0.210,0.55,14.60,0.053,34.0,159.0,0.99805,2.93,0.44,9.2
7,7.00,0.220,0.26,2.80,0.036,44.0,132.0,0.99078,3.34,0.41,12
5,9.40,0.280,0.30,1.60,0.045,36.0,139.0,0.99534,3.11,0.49,9.3
7,6.80,0.320,0.30,3.30,0.029,15.0,80.0,0.99061,3.33,0.63,12.6
6,7.00,0.190,0.33,6.30,0.032,42.0,127.0,0.99182,3.31,0.38,12.2
6,7.70,0.420,0.38,8.10,0.061,49.0,144.0,0.9966,3.40,0.58,11
7,7.40,0.200,0.31,1.60,0.038,34.0,116.0,0.9912,3.25,0.39,12
5,7.50,0.240,0.62,10.60,0.045,51.0,153.0,0.99779,3.16,0.44,8.8
4,7.50,0.260,0.59,11.80,0.046,58.0,164.0,0.99814,3.17,0.46,8.9
7,6.60,0.400,0.32,1.70,0.035,39.0,84.0,0.99096,3.59,0.48,12.7
6,8.00,0.200,0.30,8.10,0.037,42.0,130.0,0.99379,3.10,0.67,11.8
5,4.60,0.445,0.00,1.40,0.053,11.0,178.0,0.99426,3.79,0.55,10.2
6,6.10,0.410,0.04,1.30,0.036,23.0,121.0,0.99228,3.24,0.61,9.9
6,7.60,0.200,0.34,1.80,0.041,42.0,148.0,0.99335,3.35,0.66,11.1
5,6.90,0.300,0.21,7.20,0.045,54.0,190.0,0.99595,3.22,0.48,9.4
6,7.00,0.350,0.17,1.10,0.049,7.0,119.0,0.99297,3.13,0.36,9.7
5,6.90,0.350,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7
6,7.00,0.350,0.17,1.10,0.049,7.0,119.0,0.99297,3.13,0.36,9.7
5,6.90,0.350,0.55,11.95,0.038,22.0,111.0,0.99687,3.11,0.29,9.7
5,7.60,0.300,0.40,2.20,0.054,29.0,175.0,0.99445,3.19,0.53,9.8
6,7.50,0.380,0.29,12.70,0.050,25.0,209.0,0.9986,3.25,0.59,9.3
5,7.50,0.300,0.32,1.40,0.032,31.0,161.0,0.99154,2.95,0.42,10.5
6,6.30,0.400,0.32,10.60,0.049,38.0,209.0,0.9981,3.47,0.59,9.3
8,6.80,0.370,0.28,1.90,0.024,64.0,106.0,0.98993,3.45,0.60,12.6
5,7.50,0.230,0.35,17.80,0.058,128.0,212.0,1.00241,3.44,0.43,8.9
5,8.30,0.270,0.34,10.20,0.048,50.0,118.0,0.99716,3.18,0.51,10.3
5,6.80,0.260,0.22,4.80,0.041,110.0,198.0,0.99437,3.29,0.67,10.6
4,6.50,0.280,0.35,9.80,0.067,61.0,180.0,0.9972,3.15,0.57,9
5,7.20,0.340,0.30,8.40,0.051,40.0,167.0,0.99756,3.48,0.62,9.7
6,7.00,0.230,0.26,7.20,0.041,21.0,90.0,0.99509,3.22,0.55,9.5
6,7.70,0.290,0.29,4.80,0.060,27.0,156.0,0.99572,3.49,0.59,10.3
5,7.20,0.340,0.30,8.40,0.051,40.0,167.0,0.99756,3.48,0.62,9.7
8,7.70,0.400,0.27,4.50,0.034,27.0,95.0,0.99175,3.21,0.59,12.3
5,6.70,0.170,0.27,1.40,0.032,39.0,149.0,0.99254,3.40,0.52,10.5
6,7.00,0.230,0.26,7.20,0.041,21.0,90.0,0.99509,3.22,0.55,9.5
6,8.10,0.240,0.26,11.00,0.043,41.0,211.0,0.99676,3.11,0.49,10
4,7.70,0.280,0.63,11.10,0.039,58.0,179.0,0.9979,3.08,0.44,8.8
6,7.50,0.230,0.29,2.60,0.031,24.0,98.0,0.99194,3.00,0.54,10.9
6,8.30,0.260,0.31,2.00,0.029,14.0,141.0,0.99077,2.95,0.77,12.2
5,7.90,0.460,0.40,10.10,0.168,19.0,184.0,0.99782,3.06,0.62,9.5
5,7.90,0.310,0.22,13.30,0.048,46.0,212.0,0.99942,3.47,0.59,10
6,7.90,0.250,0.34,11.40,0.040,53.0,202.0,0.99708,3.11,0.57,9.6
6,6.10,0.280,0.16,1.30,0.060,36.0,126.0,0.99353,3.13,0.46,8.7
7,7.00,0.180,0.26,1.40,0.044,46.0,89.0,0.99256,3.39,0.48,10.7
6,6.50,0.210,0.28,1.40,0.046,26.0,66.0,0.99199,3.43,0.48,11.1
7,7.60,0.480,0.33,7.00,0.024,14.0,130.0,0.9918,3.25,0.45,12.5
6,7.10,0.340,0.32,2.00,0.051,29.0,130.0,0.99354,3.30,0.50,10.4
5,8.90,0.210,0.37,1.20,0.028,20.0,93.0,0.99244,3.20,0.37,11.5
5,7.40,0.320,0.27,12.90,0.040,60.0,221.0,0.99831,3.05,0.66,9.4
5,6.00,0.495,0.27,5.00,0.157,17.0,129.0,0.99396,3.03,0.36,9.3
6,8.10,0.250,0.34,10.10,0.050,30.0,121.0,0.99724,3.17,0.49,10.1
5,8.20,0.250,0.46,3.75,0.050,14.0,102.0,0.99524,3.28,0.58,9.7
6,6.50,0.180,0.29,1.70,0.035,39.0,144.0,0.9927,3.49,0.50,10.5
5,6.70,0.240,0.26,12.60,0.053,44.0,182.0,0.99802,3.42,0.42,9.7
5,6.60,0.320,0.24,1.30,0.060,42.5,204.0,0.99512,3.59,0.51,9.2
5,7.60,0.320,0.35,1.60,0.092,24.0,138.0,0.99438,3.19,0.44,9.8
5,7.40,0.330,0.44,7.60,0.050,40.0,227.0,0.99679,3.12,0.52,9
6,7.20,0.300,0.30,8.10,0.050,40.0,188.0,0.99652,3.15,0.49,9.1
6,7.40,0.340,0.30,14.90,0.037,70.0,169.0,0.99698,3.25,0.37,10.4
6,6.10,0.160,0.29,6.00,0.030,29.0,144.0,0.99474,3.68,0.46,10.7
7,6.30,0.100,0.24,6.00,0.039,25.0,107.0,0.99511,3.59,0.49,10.5
5,6.20,0.450,0.73,7.20,0.099,47.0,202.0,0.99582,3.21,0.43,9.2
4,6.00,0.330,0.18,3.00,0.036,5.0,85.0,0.99125,3.28,0.40,11.5
3,7.60,0.480,0.37,1.20,0.034,5.0,57.0,0.99256,3.05,0.54,10.4
6,7.20,0.200,0.30,2.00,0.039,43.0,188.0,0.9911,3.30,0.41,12
6,7.00,0.320,0.29,4.90,0.036,41.0,150.0,0.99168,3.38,0.43,12.2
6,7.20,0.200,0.30,2.00,0.039,43.0,188.0,0.9911,3.30,0.41,12
6,7.00,0.220,0.29,8.90,0.050,24.0,90.0,0.99556,3.29,0.46,9.8
5,9.40,0.230,0.56,16.45,0.063,52.5,282.0,1.00098,3.10,0.51,9.3
4,6.40,0.270,0.19,2.00,0.084,21.0,191.0,0.99516,3.49,0.63,9.6
4,6.40,0.270,0.19,1.90,0.085,21.0,196.0,0.99516,3.49,0.64,9.5
6,7.00,0.230,0.42,5.10,0.042,37.0,144.0,0.99518,3.50,0.59,10.2
8,6.90,0.150,0.28,4.40,0.029,14.0,107.0,0.99347,3.24,0.46,10.4
6,6.70,0.260,0.29,5.80,0.025,26.0,74.0,0.9929,3.28,0.53,11
8,6.90,0.150,0.28,4.40,0.029,14.0,107.0,0.99347,3.24,0.46,10.4
5,7.60,0.200,0.68,12.90,0.042,56.0,160.0,0.99841,3.05,0.41,8.7
4,6.90,0.300,0.29,1.30,0.053,24.0,189.0,0.99362,3.29,0.54,9.9
4,6.90,0.300,0.30,1.30,0.053,24.0,186.0,0.99361,3.29,0.54,9.9
4,7.60,0.210,0.35,1.20,0.041,7.0,106.0,0.9914,3.06,0.45,11.3
8,6.80,0.460,0.26,2.70,0.042,28.0,83.0,0.99114,3.38,0.51,12
8,7.00,0.280,0.26,1.70,0.042,34.0,130.0,0.9925,3.43,0.50,10.7
6,6.50,0.240,0.29,8.20,0.043,32.0,156.0,0.99453,3.13,0.70,10.1
7,6.40,0.170,0.34,1.50,0.091,42.0,135.0,0.9938,3.25,0.49,9.6
6,6.40,0.170,0.34,1.50,0.093,43.0,136.0,0.9938,3.25,0.49,9.6
5,6.30,0.695,0.55,12.90,0.056,58.0,252.0,0.99806,3.29,0.49,8.7
5,7.00,0.270,0.29,3.90,0.059,28.0,199.0,0.9961,3.54,0.59,10.3
5,8.40,0.300,0.25,17.75,0.047,25.0,218.0,1.00016,2.98,0.66,9.1
6,6.50,0.190,0.27,4.90,0.037,13.0,101.0,0.9916,3.17,0.41,11.8
6,8.00,0.360,0.39,1.60,0.024,26.0,93.0,0.99116,3.15,0.49,11.9
6,6.10,0.160,0.24,1.40,0.046,17.0,77.0,0.99319,3.66,0.57,10.3
4,9.20,0.190,0.42,2.00,0.047,16.0,104.0,0.99517,3.09,0.66,10
4,9.20,0.160,0.49,2.00,0.044,18.0,107.0,0.99514,3.10,0.53,10.2
6,8.00,0.260,0.28,8.20,0.038,72.0,202.0,0.99566,3.12,0.56,10
6,8.80,0.330,0.36,2.10,0.034,19.0,125.0,0.99166,2.96,0.98,12.7
5,9.80,0.160,0.46,1.80,0.046,23.0,130.0,0.99587,3.04,0.67,9.6
5,6.60,0.230,0.18,8.50,0.044,59.0,188.0,0.99558,3.16,0.49,9.5
6,7.90,0.440,0.26,4.45,0.033,23.0,100.0,0.99117,3.17,0.52,12.7
6,7.60,0.310,0.27,5.80,0.036,23.0,109.0,0.99399,3.34,0.54,11
5,7.50,0.705,0.10,13.00,0.044,44.0,214.0,0.99741,3.10,0.50,9.1
4,7.10,0.210,0.28,2.70,0.034,23.0,111.0,0.99405,3.35,0.64,10.2
6,7.00,0.160,0.26,7.30,0.047,30.0,220.0,0.99622,3.38,0.58,10.1
6,8.00,0.270,0.25,19.10,0.045,50.0,208.0,1.00051,3.05,0.50,9.2
4,6.30,0.380,0.17,8.80,0.080,50.0,212.0,0.99803,3.47,0.66,9.4
4,7.10,0.210,0.28,2.70,0.034,23.0,111.0,0.99405,3.35,0.64,10.2
4,6.20,0.380,0.18,7.40,0.095,28.0,195.0,0.99773,3.53,0.71,9.2
5,8.20,0.240,0.30,2.30,0.050,23.0,106.0,0.99397,2.98,0.50,10
6,7.00,0.160,0.26,6.85,0.047,30.0,220.0,0.99622,3.38,0.58,10.1
5,7.30,0.815,0.09,11.40,0.044,45.0,204.0,0.99713,3.15,0.46,9
5,6.30,0.410,0.16,0.90,0.032,25.0,98.0,0.99274,3.16,0.42,9.5
5,6.10,0.360,0.41,19.35,0.070,67.0,207.0,1.00118,3.39,0.53,9.1
7,8.10,0.400,0.32,7.90,0.031,23.0,118.0,0.99176,3.05,0.46,13.3
5,6.80,0.260,0.43,11.75,0.045,53.0,198.0,0.9969,3.26,0.55,9.5
5,6.20,0.440,0.18,7.70,0.096,28.0,210.0,0.99771,3.56,0.72,9.2
6,7.20,0.240,0.29,3.00,0.036,17.0,117.0,0.99411,3.36,0.68,10.1
5,6.20,0.440,0.18,7.70,0.096,28.0,210.0,0.99771,3.56,0.72,9.2
6,7.20,0.240,0.29,3.00,0.036,17.0,117.0,0.99411,3.36,0.68,10.1
6,7.30,0.220,0.26,1.50,0.040,32.0,172.0,0.99194,3.27,0.48,11.2
6,8.10,0.340,0.28,7.50,0.040,70.0,230.0,0.99558,3.14,0.55,9.8
6,7.30,0.220,0.26,1.50,0.040,32.0,172.0,0.99194,3.27,0.48,11.2
6,8.10,0.340,0.28,7.50,0.040,70.0,230.0,0.99558,3.14,0.55,9.8
5,6.40,0.280,0.17,8.30,0.042,61.0,195.0,0.99577,3.22,0.46,9.4
5,6.30,0.290,0.14,7.05,0.045,50.0,177.0,0.99564,3.23,0.42,9
5,6.40,0.270,0.17,8.40,0.044,60.0,198.0,0.99578,3.21,0.47,9.4
6,7.40,0.350,0.20,13.90,0.054,63.0,229.0,0.99888,3.11,0.50,8.9
6,8.30,0.280,0.27,17.50,0.045,48.0,253.0,1.00014,3.02,0.56,9.1
4,6.40,0.350,0.35,5.60,0.034,9.0,148.0,0.99441,3.17,0.50,9.8
5,6.90,0.430,0.28,9.40,0.056,29.0,183.0,0.99594,3.17,0.43,9.4
6,8.00,0.260,0.28,4.80,0.050,34.0,150.0,0.99437,3.13,0.50,10
5,6.90,0.430,0.28,9.40,0.056,29.0,183.0,0.99594,3.17,0.43,9.4
6,7.30,0.270,0.37,9.70,0.042,36.0,130.0,0.9979,3.48,0.75,9.9
5,6.80,0.460,0.26,6.30,0.147,49.0,159.0,0.99434,3.14,0.47,10
6,7.20,0.200,0.28,1.60,0.028,13.0,168.0,0.99203,3.17,1.06,11.5
5,7.60,0.285,0.32,14.60,0.063,32.0,201.0,0.998,3.00,0.45,9.2
5,6.60,0.320,0.33,2.50,0.052,40.0,219.5,0.99316,3.15,0.60,10
5,7.60,0.285,0.32,14.60,0.063,32.0,201.0,0.998,3.00,0.45,9.2
5,6.60,0.340,0.34,2.60,0.051,40.5,210.0,0.99314,3.15,0.61,10
5,6.60,0.320,0.33,2.50,0.052,40.0,210.0,0.99316,3.15,0.60,10
6,6.50,0.270,0.26,8.20,0.042,21.0,133.0,0.99612,3.43,0.64,9.8
6,6.60,0.260,0.27,1.50,0.040,19.0,114.0,0.99295,3.36,0.62,10.5
6,6.70,0.270,0.26,2.30,0.043,61.0,181.0,0.99394,3.45,0.63,10.6
5,6.60,0.560,0.15,10.00,0.037,38.0,157.0,0.99642,3.28,0.52,9.4
5,6.60,0.560,0.15,10.00,0.037,38.0,157.0,0.99642,3.28,0.52,9.4
7,7.30,0.190,0.27,1.60,0.027,35.0,136.0,0.99248,3.38,0.54,11
6,6.30,0.200,0.26,1.60,0.027,36.0,141.0,0.99268,3.53,0.56,10.8
5,7.10,0.290,0.30,16.00,0.036,58.0,201.0,0.99954,3.30,0.67,9
6,7.80,0.320,0.33,10.40,0.031,47.0,194.0,0.99692,3.07,0.58,9.6
6,8.10,0.330,0.36,7.40,0.037,36.0,156.0,0.99592,3.19,0.54,10.6
6,8.10,0.330,0.36,7.40,0.037,36.0,156.0,0.99592,3.19,0.54,10.6
6,7.80,0.320,0.33,10.40,0.031,47.0,194.0,0.99692,3.07,0.58,9.6
5,6.60,0.330,0.24,16.05,0.045,31.0,147.0,0.99822,3.08,0.52,9.2
5,6.60,0.330,0.24,16.05,0.045,31.0,147.0,0.99822,3.08,0.52,9.2
5,8.20,0.260,0.33,2.60,0.053,11.0,71.0,0.99402,2.89,0.49,9.5
5,8.30,0.250,0.33,2.50,0.053,12.0,72.0,0.99404,2.89,0.48,9.5
7,7.00,0.260,0.26,10.80,0.039,37.0,184.0,0.99787,3.47,0.58,10.3
5,6.00,0.260,0.15,1.20,0.053,35.0,124.0,0.99347,3.08,0.46,8.8
5,7.50,0.280,0.78,12.10,0.041,53.0,161.0,0.99838,2.98,0.44,8.7
5,7.50,0.270,0.79,11.95,0.040,51.0,159.0,0.99839,2.98,0.44,8.7
6,7.00,0.280,0.32,1.70,0.038,27.0,128.0,0.99375,3.20,0.62,10.2
6,5.20,0.160,0.34,0.80,0.029,26.0,77.0,0.99155,3.25,0.51,10.1
5,6.80,0.340,0.10,1.40,0.049,29.0,118.0,0.9936,3.21,0.41,9.5
5,7.60,0.250,0.34,1.30,0.056,34.0,176.0,0.99434,3.10,0.51,9.5
7,5.60,0.350,0.40,6.30,0.022,23.0,174.0,0.9922,3.54,0.50,11.6
6,8.80,0.240,0.23,10.30,0.032,12.0,97.0,0.99571,3.13,0.40,10.7
6,6.00,0.290,0.21,15.55,0.043,20.0,142.0,0.99658,3.11,0.54,10.1
7,6.10,0.270,0.31,1.50,0.035,17.0,83.0,0.99076,3.32,0.44,11.1
5,7.40,0.560,0.09,1.50,0.071,19.0,117.0,0.99496,3.22,0.53,9.8
6,6.80,0.290,0.49,1.40,0.142,52.0,148.0,0.9937,3.08,0.49,9
7,6.10,0.270,0.31,1.50,0.035,17.0,83.0,0.99076,3.32,0.44,11.1
6,6.30,0.270,0.37,7.90,0.047,58.0,215.0,0.99542,3.19,0.48,9.5
6,6.60,0.240,0.30,13.00,0.052,18.0,143.0,0.99825,3.37,0.49,9.4
5,6.80,0.320,0.30,1.00,0.049,22.0,113.0,0.99289,3.24,0.61,10.2
6,6.40,0.370,0.37,4.85,0.041,39.5,216.5,0.99432,3.10,0.50,9.8
6,6.20,0.260,0.37,7.10,0.047,54.0,201.0,0.99523,3.19,0.48,9.5
6,6.30,0.270,0.37,7.90,0.047,58.0,215.0,0.99542,3.19,0.48,9.5
5,6.40,0.300,0.16,7.50,0.050,55.0,191.0,0.9959,3.17,0.49,9
6,8.00,0.280,0.32,7.60,0.045,61.0,204.0,0.99543,3.10,0.55,10.1
5,6.70,0.240,0.32,10.30,0.079,37.0,122.0,0.99662,3.02,0.45,8.8
6,7.90,0.270,0.27,1.70,0.034,25.0,122.0,0.99088,2.97,0.51,11.9
6,7.90,0.270,0.27,1.70,0.034,25.0,122.0,0.99088,2.97,0.51,11.9
6,6.10,0.280,0.24,19.95,0.074,32.0,174.0,0.99922,3.19,0.44,9.3
6,7.70,0.390,0.49,7.70,0.036,11.0,110.0,0.9966,3.33,0.76,10
5,6.00,0.200,0.24,5.30,0.075,49.0,201.0,0.99466,3.21,0.43,9.5
6,6.10,0.280,0.24,19.95,0.074,32.0,174.0,0.99922,3.19,0.44,9.3
4,7.60,0.310,0.23,12.70,0.054,20.0,139.0,0.99836,3.16,0.50,9.7
4,7.60,0.310,0.23,12.70,0.054,20.0,139.0,0.99836,3.16,0.50,9.7
5,6.30,0.180,0.22,1.50,0.043,45.0,155.0,0.99238,3.19,0.48,10.2
5,8.60,0.230,0.25,11.30,0.031,13.0,96.0,0.99645,3.11,0.40,10.8
5,6.80,0.210,0.36,18.10,0.046,32.0,133.0,1,3.27,0.48,8.8
5,6.80,0.210,0.36,18.10,0.046,32.0,133.0,1,3.27,0.48,8.8
6,6.90,0.260,0.31,7.00,0.039,37.0,175.0,0.99376,3.32,0.49,11.4
5,6.80,0.210,0.36,18.10,0.046,32.0,133.0,1,3.27,0.48,8.8
5,6.40,0.310,0.40,6.40,0.039,39.0,191.0,0.99513,3.14,0.52,9.8
4,8.60,0.340,0.36,1.40,0.045,11.0,119.0,0.99556,3.17,0.47,9.4
4,8.60,0.340,0.36,1.40,0.045,11.0,119.0,0.99556,3.17,0.47,9.4
6,8.50,0.300,0.28,3.10,0.054,54.0,174.0,0.99543,3.21,0.43,9.4
6,7.40,0.400,0.41,14.10,0.053,37.0,194.0,0.99886,3.20,0.63,9.4
6,6.60,0.320,0.34,7.70,0.044,63.0,212.0,0.99526,3.22,0.48,9.7
7,7.10,0.340,0.31,5.20,0.032,36.0,140.0,0.99166,3.35,0.47,12.3
6,6.60,0.260,0.25,11.60,0.045,45.0,178.0,0.99691,3.33,0.43,9.8
5,8.00,0.270,0.57,10.40,0.053,18.0,134.0,0.99732,3.12,0.68,9
6,6.20,0.280,0.45,7.50,0.045,46.0,203.0,0.99573,3.26,0.46,9.2
6,6.20,0.300,0.49,11.20,0.058,68.0,215.0,0.99656,3.19,0.60,9.4
6,5.60,0.175,0.29,0.80,0.043,20.0,67.0,0.99112,3.28,0.48,9.9
5,6.90,0.340,0.36,1.40,0.032,13.0,145.0,0.99214,3.07,0.52,9.8
7,6.90,0.340,0.30,4.70,0.029,34.0,148.0,0.99165,3.36,0.49,12.3
7,7.10,0.120,0.30,3.10,0.018,15.0,37.0,0.99004,3.02,0.52,11.9
